"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C2";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C4";"10uf , 20V";"10UF-20V-10%(TANT)";"EIA3528";"CAP-08063";"CAP-08063";"10uF";
"F1";"PTCSMD";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";
"F2";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment P";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment P";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP0";"D0";"M03PTH";"1X03";"Header 3";"";"";
"JP1";"D1";"M03PTH";"1X03";"Header 3";"";"";
"JP2";"D2";"M03PTH";"1X03";"Header 3";"";"";
"JP3";"D3";"M03PTH";"1X03";"Header 3";"";"";
"JP4";"D4";"M03PTH";"1X03";"Header 3";"";"";
"JP5";"D5";"M03PTH";"1X03";"Header 3";"";"";
"JP6";"D6";"M03PTH";"1X03";"Header 3";"";"";
"JP7";"D7";"M03PTH";"1X03";"Header 3";"";"";
"JP8";"D8";"M03PTH";"1X03";"Header 3";"";"";
"JP9";"D9";"M03PTH";"1X03";"Header 3";"";"";
"JP10";"D10";"M03PTH";"1X03";"Header 3";"";"";
"JP11";"D11";"M03PTH";"1X03";"Header 3";"";"";
"JP12";"D12";"M03PTH";"1X03";"Header 3";"";"";
"JP13";"D13";"M03PTH";"1X03";"Header 3";"";"";
"JP14";"A0";"M03PTH";"1X03";"Header 3";"";"";
"JP15";"A1";"M03PTH";"1X03";"Header 3";"";"";
"JP16";"A2";"M03PTH";"1X03";"Header 3";"";"";
"JP17";"A3";"M03PTH";"1X03";"Header 3";"";"";
"JP18";"A4";"M03PTH";"1X03";"Header 3";"";"";
"JP19";"A5";"M03PTH";"1X03";"Header 3";"";"";
"JP20";"";"M04SMD_STRAIGHT_COMBO";"1X04_SMD_STRAIGHT_COMBO";"Header 4";"";"";
"JP21";"";"M04PTH";"1X04";"Header 4";"";"";
"JP22";"";"M04PTH";"1X04";"Header 4";"";"";
"LED1";"Yellow";"LED0603";"LED-0603";"LEDs";"";"";
"LED2";"Yellow";"LED0603";"LED-0603";"LEDs";"";"";
"LED3";"Blue";"LED0603";"LED-0603";"LEDs";"";"";
"LED4";"Blue";"LED0603";"LED-0603";"LEDs";"";"";
"LED5";"YELLOW";"LED0603";"LED-0603";"LEDs";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and f";"";"";
"LOGO3";"SFE_LOGO_FLAME.2COP";"SFE_LOGO_FLAME.2COP";"SFE_LOGO_FLAME_COPPER_.2";"SFE Logo, flame only";"";"";
"LOGO4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and f";"";"";
"R1";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R2";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R3";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R4";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R5";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"S4";"RESET";"TAC_SWITCHSMD";"TACTILE-SWITCH-SMD";"Momentary Switch";"";"";
"SJ1";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"SJ2";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"SJ3";"";"JUMPER-PAD-3-NC_BY_TRACE";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";
"SJ4";"";"JUMPER-PAD-3-NC_BY_TRACE";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";
"U$1";"SFE_LUDUS";"SFE_LUDUS";"SFE_LUDUS-M";"";"";"";
"U1";"ARDUINO";"ARDUINO_R3_SHIELDNOLABELS";"UNO_R3_SHIELD_NOLABELS";"Shield form compatib";"";"";
"U3";"TB6621FNG";"TB6621FNG";"SSOP24";"Toshiba 1A motor dri";"";"";
